run_version,model_type,pred_threshold,pixel_threshold,min_area,val_iou,val_dice,val_image_precision,val_image_recall,val_image_f1,val_image_accuracy,val_pixel_precision,val_pixel_recall,val_pixel_f1,val_fp,val_fn,fp_rate,fn_rate,combined_score
v17_unet_baseline_160,unet,0.6000000238418579,120,80,0.6477696565165502,0.7862381176334097,0.8384146341463414,0.9821428571428571,0.9046052631578947,0.8954954954954955,0.7657290129511827,0.8078760793688696,0.7862381176333626,53,5,0.19272727272727272,0.017857142857142856,0.729831470764928
v17_unet_baseline_160,unet,0.6000000238418579,100,180,0.6477696565165502,0.7862381176334097,0.8384146341463414,0.9821428571428571,0.9046052631578947,0.8954954954954955,0.7657290129511827,0.8078760793688696,0.7862381176333626,53,5,0.19272727272727272,0.017857142857142856,0.729831470764928
v17_unet_baseline_160,unet,0.6000000238418579,100,80,0.6477696565165502,0.7862381176334097,0.8384146341463414,0.9821428571428571,0.9046052631578947,0.8954954954954955,0.7657290129511827,0.8078760793688696,0.7862381176333626,53,5,0.19272727272727272,0.017857142857142856,0.729831470764928
v17_unet_baseline_160,unet,0.6000000238418579,100,100,0.6477696565165502,0.7862381176334097,0.8384146341463414,0.9821428571428571,0.9046052631578947,0.8954954954954955,0.7657290129511827,0.8078760793688696,0.7862381176333626,53,5,0.19272727272727272,0.017857142857142856,0.729831470764928
v17_unet_baseline_160,unet,0.6000000238418579,100,120,0.6477696565165502,0.7862381176334097,0.8384146341463414,0.9821428571428571,0.9046052631578947,0.8954954954954955,0.7657290129511827,0.8078760793688696,0.7862381176333626,53,5,0.19272727272727272,0.017857142857142856,0.729831470764928
v17_unet_baseline_160,unet,0.6000000238418579,140,120,0.6477696565165502,0.7862381176334097,0.8384146341463414,0.9821428571428571,0.9046052631578947,0.8954954954954955,0.7657290129511827,0.8078760793688696,0.7862381176333626,53,5,0.19272727272727272,0.017857142857142856,0.729831470764928
v17_unet_baseline_160,unet,0.6000000238418579,140,100,0.6477696565165502,0.7862381176334097,0.8384146341463414,0.9821428571428571,0.9046052631578947,0.8954954954954955,0.7657290129511827,0.8078760793688696,0.7862381176333626,53,5,0.19272727272727272,0.017857142857142856,0.729831470764928
v17_unet_baseline_160,unet,0.6000000238418579,160,150,0.6477696565165502,0.7862381176334097,0.8384146341463414,0.9821428571428571,0.9046052631578947,0.8954954954954955,0.7657290129511827,0.8078760793688696,0.7862381176333626,53,5,0.19272727272727272,0.017857142857142856,0.729831470764928
v17_unet_baseline_160,unet,0.6000000238418579,160,120,0.6477696565165502,0.7862381176334097,0.8384146341463414,0.9821428571428571,0.9046052631578947,0.8954954954954955,0.7657290129511827,0.8078760793688696,0.7862381176333626,53,5,0.19272727272727272,0.017857142857142856,0.729831470764928
v17_unet_baseline_160,unet,0.6000000238418579,120,120,0.6477696565165502,0.7862381176334097,0.8384146341463414,0.9821428571428571,0.9046052631578947,0.8954954954954955,0.7657290129511827,0.8078760793688696,0.7862381176333626,53,5,0.19272727272727272,0.017857142857142856,0.729831470764928
